,Product,Consumer_complaint_narrative,category_id
2856,"Credit reporting, credit repair services, or other personal consumer reports","I have sent numerous letters to Equifax asking that they please verify XXXX accounts that are appearing on my credit report. I have no idea what they are and have asked that they send some type of documentation letting me know what it is, if its been verified, and who they spoke with so that I XXXX get some type of clarity on these accounts. I have not received any form of communication from Equifax. I have even sent letters reminding them that they are legally obligated to complete an investigation and respond in 30 days. My letters have gone unanswered. 
I have also sent letters to XXXX and XXXX regarding a separate account. I have not received a response to my request for verification. I have asked both agencies to provide proof that this account belongs to me or a method of verification so that I XXXX follow up. XXXX sent me a copy of my credit report and I have not received any written documentation from XXXX verify this account. 
I have been writing each bureau since XXXX and am not getting a response.",0
2857,"Credit reporting, credit repair services, or other personal consumer reports","When I investigated my credit report, I realized that some of the information was erroneous. The 3 credit bureaus are required to authenticate these accounts under Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ). ( A ). It is not acceptable to treat these reporting accounts as unconfirmed information without producing proof within the legal time range. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ). ( A ), please investigate the unverifiable item/accounts/information below : XXXX XXXX XXXX XXXX XXXXXXXX Balance : XXXX XXXX XXXX XXXX Balance : XXXX XXXX XXXXXXXX Balance : XXXX XXXX XXXX XXXXXXXX Balance : XXXX XXXX XXXX XXXXXXXX Balance : XXXX",0
2886,Mortgage,"Rocket mortgage assumed my loan as the mortgage servicer, this mortgage has been in force for approximately 5 years. The escrow disbursement for payment of property taxes has always been received by check prior to XX/XX/XXXX of the current tax year for payment. I received my XX/XX/XXXX billing statement on XX/XX/XXXX. ( statement date XX/XX/XXXX ). Under the escrow it indicated that there was XXXX disbursement, I called Rocket Mortgage service help line ( XXXX ) XXXX and spoke with XXXX. She acknowledged the expected disbursement date of XX/XX/XXXX in the account notes but did not have a reason or any further information as to why my tax escrow check had not been sent. She did state that it should be sent before the tax due date in XXXX. I explained that the escrow check needed to be received before XX/XX/XXXX. Then paid for tax purposes as had been done for all other prior years. I requested that the escrow tax check be overnighted by XXXX, She stated that she would forward the concern to the Tax and escrow department ( I was told that I could not speak directly to them as they were not customer assessable ) and they would call back within XXXX if not that same day. I was called back by XXXX XXXX. XXXX hrs later, she restated that the escrow for taxes would be sent prior to the due date in XXXX and had no further explaination but said that the tax and escrow department would now call back within 48 hours if i wanted them to, I said I needed to speak to them now as the deadline to pay my property taxes was within that 48hr window. She again stated that that department couldn't be accessed directly by the customer. I then asked if there was someone to lodge a complaint with either with the company and/or federal regulatory agency. She said no that isn't something she was aware of and knew of no other contact numbers. I stated that I would do the research myself and that how this CFPB complaint came about",1
2940,"Credit reporting, credit repair services, or other personal consumer reports","I mistakenly submitted an application with Capitol One on XX/XX/2022. I immediately called the company right after and ask them to remove the account, cancel the card, and cancel the application. They did all of the above. They are unable to reverse the transaction on my credit report. I am asking if this inquiry can please be removed because it was made in error.",0
3034,Checking or savings account,"I was working in XXXX Florida from XX/XX/2023. I traveled from XXXX Airport, through XXXX XXXX Airport , and then to XXXX on XX/XX/2023. 
On XX/XX/2023, I received a text notification from XXXX XXXX that a charge was made to XXXX XXXX XXXX XXXX XXXX Florida for {$2700.00} and another one for {$300.00}. I got on the XXXX app on my phone and saw the fraudulent charges, which I disputed both at that time and requested the credit card locked and to have a new one sent to my home address. I let them know it was not myself or anyone else in my family and that my credit card was in my possession so somehow the scammer had my credit card number. 
I then, from the XXXX App, reset my password and was sent a message through the app that the new password had met their requirements. However, I noticed they misspelled the word and by putting "" requirments '', leaving out the "" e ''. I contacted XXXX XXXX XXXX XXXX on the phone number on the App, and when the person answered, with very broken English and a lot of noise in the background, and requested my SS #, I hung up. I then looked at the back of my credit card and called that number for the Fraud department. The text I had received earlier about the 2 charges was indeed XXXX, however, the scammer somehow got into the App, and I did report this to XXXX. Also, the following day I received another text, from the exact same number from XXXX that another {$5000.00} had been charged, but when I called XXXX, they stated that wasn't true, but the scammer had gotten their text number. Then on XX/XX/XXXX, I noticed 2 charges on our Health Savings account card for {$610.00} and another for {$120.00}. We notified that company, and they opened a fraud report. Then on XX/XX/2023, I noticed 8 drafts on my checking account that totaled, {$3100.00}. I contacted my bank right away and they canceled my debit card and issued a new one. I went to my bank the next day and disputed each charge. The drafts were to the following on my checking account at Arvest Bank, XXXX XXXX XXXX XXXX {$50.00}, XXXX XXXX {$7.00} and {$14.00} XXXX XXXX {$240.00} XXXX XXXX XXXXXXXX {$44.00}, {$1000.00}, and {$1700.00} XXXX XXXX XXXX {$36.00} With all the fraudulent charges, I was in possession of my credit card, HSA Medical savings card, and my bank card, so I am not sure how they got into these accounts. 
I was staying and working with a new hotel, and I think someone could have gone into my room and taken pictures of the cards in my purse that was left in the room during my work hours but hidden. I did notify the hotel and they stated they would have the locks read, however, they have not received a response from their lock company.",5
3065,"Credit reporting, credit repair services, or other personal consumer reports","n accordance with the Fair Credit Reporting act XXXX XXXX violated my rights. 

: XXXX XXXX XXXX XXXX Account Number ( XXXX ) : XXXX XXXX XXXX Account Number ( XXXX ) : XXXX XXXXXXXX XXXX Account XXXX ( XXXX ) : XXXX XXXX XXXX XXXX XXXX XXXX. Account Number ( XXXX ). 


15 U.S.C 1681 Section 602 A. States I have the right to Privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions.",0
3129,Mortgage,"I just want to flag for you that mortgage servicing companies are starting to dramatically increase the frequency of transfers for loans being serviced. Most recently, my loan was transferred to Roundpoint Mortgage in XX/XX/XXXX ( this was my XXXX mortgage servicer of XXXX ). 

On XX/XX/XXXX - I received notice that Roundpoint had transferred it XXXX Mortgage. I have no problems paying the mortgage, but I can not because the data to set up an account for me at XXXX has not yet been received according to the customer service agent I just spoke to. I know there is a 60 day grace period, but I now have to wait, go back in a few days, check to see if the loan details have been transferred, and only then set up a new account, pay the outstanding balance, and then set up another auto payment plan. Doing this once every few years isn't a big deal. Doing it XXXX or more times a year is a little over the top. 

When I spoke to the customer service agent at XXXX Mortgage he shared with me that he's seeing a massive uptick in mortgage servicing transfers and warned me to not to be surprised if it is transferred again quickly. This is kind of ridiculous. I'm running around chasing paper, having to share incredibly sensitive Personal Info including my routing and bank account numbers with multiple companies at a time when data breaches are on the rise, and I'm going to have to chase down all this info for my taxes to be sure I'm able to get the mortgage deduction I am owned. Isn't there anything the CFPB can do about excessive mortgage servicing transfers?",1
3130,Credit card or prepaid card,"A XXXX XXXX credit card was opened in my name. I have applied for a credit card to this business, in fact, I have not applied for a credit card in over 10 years. XXXX of XXXX is also reporting the fraudulent activity, but recommended that I submit a claim to CFPB.",4
3570,Mortgage,"Hello my name is XXXX XXXX. I am trying to help my customer XXXX XXXX XXXX. Her phone # is XXXX. Her email address is XXXX. Please copy her on all information. I am helping because of the language barrier. 
She has a mortgage on her house. 
She is having issues with the mortgage company that I am trying to help her get resolved. 
Last XXXX she made her payment of {$1000.00} but the mortgage company tried to cash it for {$4000.00} by mistake which bounced. They have agreed this was their mistake. It was just mistyped. They were going to send a {$3000.00} refund when they saw the check did not clear. They told her not to send it the payment again and they did not compensate her for the bounce check they caused. A couple of months later they sent a letter to her trying to get her to do a loan modification which she did not want to do. She has made her payments on time ever since but they have since sent her loan to a collection company. She talked to them in the beginning. I started calling every month since XXXX 2022. I have spent hours on the phone with them trying to get this resolved. Every month I talk to a different person who at the end of the call says yes this is not her fault and they will get it fixed. But they never do. In XXXX I talked to a representative and she said the loan had been modified and they would have to redo the loan to fix it. She told me to send an email to them at that time saying that she did not want the loan modified. She just wanted to make her payments. In XXXX I talked to a gentleman and he said he would get it fixed. In XXXX I talked to a gentleman and he claimed the {$3000.00} check was cashed. I requested a copy of her statements and a copy of the cashed check that they claimed was cashed. They have never sent it to us. It seems like they are trying to take advantage of an elderly lady. 
We could use some help with this situation. 
Please let me know who we should contact.",1
3604,"Credit reporting, credit repair services, or other personal consumer reports","I did not consent to, or authorize nor benefit from any of the following inquiries. This is caused by identity theft. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Date of Inquiry XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",0
3709,"Credit reporting, credit repair services, or other personal consumer reports","This is my first endeavor to tell you that I am a victim of identity theft and I complain to question specific records in my document coming about because of the wrongdoing. The records I am questioning connect with no exchanges acquiring any possession of goods, services, or money that I have made or authorized. Assuming no one cares, either way, block the noteworthy of any information in my credit record that came about due to alleged fraud or extortion. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Balance : XXXX XXXX XXXX Balance : XXXX XXXX XXXX XXXX Original Creditor XXXX XXXX XXXX XXXX XXXX XXXX XXXX Balance : XXXX XXXX ( Original Creditor : XXXX XXXX XXXX XXXX XXXX Balance XXXX XXXX XXXX ( Original Creditor : XXXX XXXX XXXX XXXX XXXX XXXX XXXXBalance : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",0
3871,Mortgage,I have tried doing refinancing with XXXX XXXX and got accepted with a XXXX month trial period on my mortgage. They excepted my money in for XXXX months then on the XXXX month they told me I didnt sign the paper work which they had no proof on that they sent me. My lawyers asked multiple times the company never replied back. They restarted the XXXX month trial period again raising the loan modification payments by {$150.00}. I said okay and then successfully paid the XXXX months again and on the fourth month they sent my certified check again and told me the same thing and increased the loan modification payment and started the XXXX month trial. They expected my month from XXXX of XXXX and ask of XX/XX/XXXX when I have sent them month each month until XXXX sent me my money after XXXX of XXXX and put my house up for foreclosure. I had to pay XXXX dollars to my lawyer to talk to them but they dont get back to our phone calls. I have never missed a payment with the loan modification nor being late. They didnt even inform me it was going to foreclosure until XX/XX/XXXX of XXXX when they were suppose to 30 days before. The foreclosure papers says XXXX XXXX but my loan is though NewRez. Please help!!!,1
3962,Debt collection,"I had a XXXX  card and back in XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. My partner lost her job. We werent able to make payments on the card. XXXX turned the account over to XXXX XXXX. I never recieved anything by mail from them. When I asked what address they were mailing to, they got angry. I stated I have a po box every thing needs to me mailed to the po box XXXX if it didnt have the po box our post office sent it back to sender. XXXX would call everyday either my number or my sons cell phone. When I would explain to them that I wasnt able to make payments right now, they got mad. Once a gentleman called from XXXX and I told him once we got on our feet I would start making payment. He told me I was a liar, that I never planned on paying it back. He proceeded to tell me i was going to me sued and asked how I felt about possibly going to jail. This went on for about a year. Then I tried to reach out to pay my debt and they told.me I was being sued. AnotheXXXX XXXX months went by I never recieved anything. Then on XX/XX/XXXX I got a complaint and summons that they were suing me. Javitch Block LLc is the attorney. I have tried to reach out to them to pay this debt. When you call they dont have enough agents for the wait time is XXXX plus minutes. I sent them several emails asking to reach out to me. I emailed and faxed a settlement letter ask for them to contact me. Still nothing. I got on XXXX XXXX and dis a settlement. They replied to me then with we will not communicate or negotiate through XXXX XXXX. I want to settle this debt. But I feel being harrassed daily, cursed at, and threatened is not worth amswering the phone when they would call. And for Javitch block to say that want to clear up this matter, but I need to contact them. How do I contact when no one answers the phone and they dont reply back to my emails.",3
4024,Debt collection,"ProCollect wants us to pay {$13000.00} for an illegal debt not owed. They state they are not the company to speak to. Well, please explain why they have a debt and have hit our credit? The debt not owed on our credit report has their name on it. They are responsible and are committing extortion. XXXX does not have our debt. PROCOLLECT has their name all over it. They are in violation of FCRA and violating my Rights under TN State law and federal law. I assume the people at PROCOLLECT are illiterate. The debt has their name on it. No one else has their name on it. It states PROCOILLECT the village idiots of debt collection have their names on it.",3
4033,Checking or savings account,"To Whom It May Concern : I was contacted by a Citibank representative named "" XXXX XXXX claiming to be from the fraud department on XX/XX/2023 at XXXX. The caller ID came from the Citibank phone # : XXXX. XXXX requested that I verify my personal information including my full name, demographics, address, and social security number. He also verified recent transactions made on my checking account to verify that they were "" valid transactions. '' XXXX informed me that there was an attempt to make a large purchase of about {$500.00} in XXXX Georgia, and Citibank was working on blocking the purchase. XXXX stated that he needed to help me secure my account. 

I was sent a number of "" Citi ID Codes '' that I had to repeat back to the "" representative, '' "" XXXX. '' On XX/XX/2023, between the hours of XXXX, there were 13 "" Citi ID Codes '' texted to me, that I had to repeat back to XXXX. The following XXXX amounts were sent to an individual named "" XXXX XXXX '' between the hours of XXXX : {$2100.00} {$2400.00} {$380.00} I asked XXXX what these were, and he told me they were sample transactions to make sure that my large transaction alerts were turned on properly. 

XXXX then prompted me to change my password and log onto my Citibank account with a temporary password he created. He also had me change my pin. He had me open a Citi Priority account explaining this would add extra security to prevent future fraud. He then tried to have me log back onto my Citibank account and I was unable to. He told me that due to the attempted fraud transactions they were investigating, Citibank was having issues handling my account and it needed maintenance. He requested I call him back at XXXX XXXX  on XX/XX/2023. 

In the interim, I was able to log into my Citibank mobile app using a security pin, and looked at my account. There was about {$9000.00} in my checking account, that I did not have before. Both my saving accounts were wiped with an amount of {$0.00}. My Citibank account had changed to a "" Citibank Priority Account. '' I had a personal loan approved and existing in the account in the amount of {$0.00}. 

"" XXXX '' provided me with his "" direct phone # '' : XXXX. I called XXXX back at XXXX XXXX  on XX/XX/2023. He sent me one more "" Citi ID Code '' on XX/XX/2023 at XXXX. I then got a text message alert that a XXXX payment in the amount of {$2400.00} was sent to "" XXXX XXXX. '' I again questioned this, along with the changes I saw when I logged onto my Citibank mobile app. XXXX explained again that the XXXX was a sample transaction to test my high amount alert system with Citibank. He explained the changes in what I saw in the Citibank mobile app were due to ongoing investigation and asked that I refrain from logging into the app. 

XXXX told me that there was still issue securing my Citibank account, and that we needed to resume the call the following day on XX/XX/2023. He again provided me with his direct phone #, XXXX and said he would call me at XXXX on XX/XX/2023. 

I had an unusual feeling that something was wrong at this point and decided to call Citibank Customer Service myself, directly at XXXX. A representative verified my information with my name, DOB, and the last 4 digits of my Citibank account number, and the last 4 digits of a credit card I have open with my Citibank account. He did not ask for any other identifying information like XXXX did. 

I told the customer service rep to look into my recent transactions of the XXXX payments, and he asked me for verbal confirmation if these were authorized. I verbally stated that they were not. I asked the Citibank rep if these were "" sample transactions, '' and he stated that they are not. The Citibank rep then secured/temporarily blocked my bank account. He instructed me to visit my nearby Citibank branch and open a new account with Citi. Once I do this, I will call back Citibank Customer Service at XXXX for them to transfer the money from the compromised account to the new account. I asked the Citibank customer service rep to verify the remaining balance in my Citibank account. He stated that the remaining balance is {$6900.00}. Prior to this incident, I only had about {$2000.00} in my savings account and about {$1100.00} in my checking account. I asked the Citibank Rep where the {$6900.00} came from. He instructed me to report this to https : //consumer.ftc.gov and the Consumer Financial Protection Bureau XXXX",5
4084,"Credit reporting, credit repair services, or other personal consumer reports","When I reviewed my credit report, I discovered that these accounts were erroneous. The 3 credit bureaus must validate these accounts in line with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ). It is not authorized to fail to validate this reporting accounts as unverified information without providing any proof within the period allowed by law. The following accounts need to be investigated and deleted for erroneous reporting in my file are listed on my credit report : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",0
4099,"Credit reporting, credit repair services, or other personal consumer reports","This is my fourth endeavor to tell you that I am a victim of identity theft and I complain to question specific records in my document coming about because of the wrongdoing. The records I am questioning connect with no exchanges acquiring any possession of goods, services or money that I have made or authorized. Assuming no one cares either way, block the noteworthy of any information in my credit record that came about due to an alleged fraud or extortion. XXXX XXXX XXXX ; XXXX XXXX XXXX XXXX Balance - ; XXXX XXXX XXXX XXXX Balance {$37000.00} ; XXXX XXXX XXXX",0
4131,"Credit reporting, credit repair services, or other personal consumer reports","In Accordance with the fair credit reporting act. The list of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 

XXXX  # XXXXXXXX XXXX XXXX XXXX # XXXXXXXX XXXX # XXXXXXXX XXXX XXXX # XXXXXXXX XXXX XXXX # XXXX The above have violated my rights. 

15 U.S.C 1681 section 602 A. States I have a right to privacy.

15 U.S.C 1681 section 602 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : No consumer reporting agency may make any consumer report containing any of the following items of information, any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",0
4144,"Credit reporting, credit repair services, or other personal consumer reports","I have pulled my report and there are accounts reporting inaccurately. I know that credit reporting agencies are supposed to report only 100 % accuracy. I have not received any investigation procedure on these accounts. This is obviously a violation of my rights Under 15 USC Code 1681e ( b ) and 15 USC code 1681i ( 5 ). Below are the accounts being reported. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",0
4146,"Credit reporting, credit repair services, or other personal consumer reports","In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX has violated my rights. 

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",0
4150,"Credit reporting, credit repair services, or other personal consumer reports","Company has employment information on me and I am unaware of who they are. I requested a report from them on XX/XX/2023 reference # XXXX, and have not received either report or letter stating that they have no information/file for me.",0
4152,Debt collection,I recently was made aware that a new collection item appeared on my credit file. Upon reviewing the information I was able to verify that this does not belong to me. I have never received treatment for any medical procedures and I do not owe any medical bills as I have health insurance. I have contacted this company and requested a copy of the original bill. The company failed to provide me. I have disputed this with the credit bureau and it is showing as verified. This is incorrect.,3
4159,Credit card or prepaid card,"On XX/XX/2023 I received an email that my Citi credit card was closed due to inactivity. This came as a shock to me because I had received no advance Notice that such closure was being considered. I was planning to use this card tomorrow to engage in a citi member presale for a concert tickets. I now have no ability to participate, my credit card is closed, I have no idea how this will impact my XXXX XXXX, and I have no way of reopening it in time to participate in the pre-sale. Ive included a screenshot of the statements section of my account, I received all of my statements electronically, and they should appear on the statements site. As you can see, there are no notices that indicate my account was going to be closed other than the day it was closed. I called citi bank and they apologized and said there was nothing they could do, they dont know why that happened, and advise that I would need to open up a new account. This is simply unfair, unjust, and deceptive to consumers.",4
4163,"Credit reporting, credit repair services, or other personal consumer reports","The two student loans that show on my credit, was removed back in XXXX earlier in the year. So in XX/XX/XXXX they put it back on my credit. I complain to the bureaus about this matter, and nothing was done. I need it off, because once it drops off my credit it was never supposed to be back on it.",0
4241,Credit card or prepaid card,"This request is about information that is reporting on my personal credit report from the credit bureau listed above. I am formally disputing this debt and I am requesting a validation of this debt. I want to stress that this letter IS NOT a request for VERIFICATION, but a request for VALIDATION. 

Under the Fair Credit Reporting Act, Fair and Accurate Transaction Act and Fair Credit Billing Act I have a right to request proof that I have a legal obligation to pay the alleged debt to you. Please provide me with the name and address of the original creditor, what services were performed, a detailed history of the account, copies of documents bearing my signature where I agreed to pay this debt. 

I am pretty sure your company knows that while this account is in dispute, you are not supposed to continue trying to collect this debt or report to the credit bureaus regarding this account. If you do, it will be a clear violation of the FCRA, FACTA and the XXXX. If you do provide me with the requested information, I will require 30 days to review the results, at which time collection activity must continue to be on hold.",4
4308,Vehicle loan or lease,"How you all doing my name XXXX XXXX XXXX you all today my application was denied for a auto loan with Capitol one auto finance. 
Thats false and misleading they cant deny me with extensions of my own credit I know XXXX the consumer and the original creditor & trying to extend my credit out to them. 
Credit dont matter the laws matter thats consumer law 15 usc 1611.They giving me false information willingly & Knowingly because its public information if its public information they should know it. 
Also they asked for a downpayment thats openly committing fraud its illegal the finance charge is the sum of all charges downpayment Gap insurance and dealer fees that falls under consumer law 15 usc 1605. 

Can you all please reach back out to me asap The application is with XXXX of XXXX Louisiana XXXX Application number XXXX XXXX on bank XXXX XXXX Ext : XXXX Vehicle Vin : XXXX",2
4353,"Credit reporting, credit repair services, or other personal consumer reports","Greetings This is XXXX XXXX XXXX, and I appreciate you taking the time to CORRECT some of the information in my credit file ; however, there are still accounts that need to be UPDATED. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) require the 3 Credit Bureaus to validate these accounts ( A ). I hope these disputed accounts are updated. 

XXXX XXXX XXXX : {$5700.00} XXXX XXXX XXXX : {$0.00}",0
4367,"Credit reporting, credit repair services, or other personal consumer reports","On XXXX XXXX, 2022, I sent a letter regarding inaccurate and unknown things on my credit report to this day over XXXX  days later I have not received a response yet. I feel like I'm taken advantage of and being ignored for my disputes. Section 611 ( a ), it is plainly stated that failure to investigate these items within XXXX days gives a reason to immediately remove those items from my credit report, it has been over XXXX days so they should be deleted promptly. I demand these accounts should be deleted immediately or I will file for litigation due to the stress you caused me. My information was also impacted by the Equifax Data breach and may have got into the hands of the wrong person.",0
4379,"Credit reporting, credit repair services, or other personal consumer reports","This is my NUMEROUS request that I have been a victim of identity theft and that no one seems to care, that I want to dispute specific records in my credit file that do not belong to me, or that I have signed any agreement. The items I'm challenging have nothing to do with any transactions I've done or authorized to gain products, services, or money. Please remove the following items XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",0
4384,"Credit reporting, credit repair services, or other personal consumer reports","Ive contacted TransUnion XX/XX/22, XX/XX/22, XX/XX/22 and XX/XX/22. I informed the representative that the account does not belong to me and the social security number or name does not match mines. I also contacted the original creditor and they confirmed the information does not match mine. The account remains on my TransUnion Credit report. 
XXXX XXXX account does not belong to me. 

I contacted TransUnion XXXX XXXX XXXX account. This account does not belong to me. The ss # does not belong to me. TransUnion refuses to remove it from my credit report. This account are preventing me from getting credit approvals.",0
4392,"Credit reporting, credit repair services, or other personal consumer reports","This is my fourth endeavor to tell you that I am a victim of identity theft and I complain to question specific records in my document coming about because of the wrongdoing. The records I am questioning connect with no exchanges acquiring any possession of goods, services or money that I have made or authorized. Assuming no one cares either way, block the noteworthy of any information in my credit record that came about due to an alleged fraud or extortion. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX XX/XX/XXXX ; XXXX XXXX XXXX XXXX XXXX CA XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX TX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXXXXXX XXXX XXXX XXXXXXXX XXXX : {$0.00} ; XXXX XXXX XXXX XXXX XXXX : XX/XX/XXXX Reference # : XXXXXXXX XXXX XXXX XXXX XXXX Balance : {$0.00} ; XXXX XXXX XXXX XXXX XXXX/Reported : XX/XX/XXXX Reference # : XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX",0
4393,"Credit reporting, credit repair services, or other personal consumer reports","The hard inquiries list needs to be removed : - XXXX  XXXX on XX/XX/2022 This morning I received many notifications about someone requesting my credit profile after I unfroze my credit report. That is absolutely unacceptable since when scamming is everywhere and my personal identity was leaked or not. that is a fraudulent activity I am writing to dispute the following information in my file. I recently received a copy of my credit report, and I notice there is an unauthorized credit inquiry made by the company listed above. To my knowledge, I have not signed any documents authorizing the company in question to view my credit report. The listed inquiry was without authorization, and for no legitimate business purposes. As such, it is a very serious error in reporting. I never authorized such action, and this constitutes a violation of my rights under the Fair Credit Reporting Act 604 as well as a violation of my rights to privacy. I am requesting your credit bureau to initiate an investigation and to determine the responsible parties in this unauthorized credit inquiry. As part of your investigation, please send the names, business addresses, and phone numbers of those who made unauthorized credit inquiries so I may contact them directly. In addition, I respectfully request a copy of any documents authorizing credit inquiry, and signed on my behalf, so that I may verify its validity. 

If you find that I was not the one who authorized this inquiry, I ask that it be removed immediately from my credit file. Please be so kind as to forward me documentation that you have had the unauthorized inquiry removed. If you find that I am in error, then please send me proof of this. 
Finally, I am requesting an updated copy of my credit report, which should be sent to the address listed above. 
According to the provisions of 612 ( 15 USC 1681j ), there should be no charge for this report.",0
4400,"Credit reporting, credit repair services, or other personal consumer reports","According to the Fair Credit Reporting Act, Section 609 ( a ) ( 1 ) ( A ), "" You are Required by Federal Law to Verify through physical Verification of the Original Signed Certified Consumer Contract of Any and All Accounts You request to be reported on any Credit Report '' ... Please verify and remove the inaccurate accounts below. 

I have already disputed these items on XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX but the bureaus did not remove them. 

Sec. 602 I have a right to privacy XXXX Account Number : XXXX XXXX XXXX  Account Number : XXXXXXXX XXXX XXXX XXXX  Account Number : XXXX XXXX  XXXX  XXXX  Account Number : XXXX XXXX  Account Number : XXXX XXXX  XXXX  Account Number : XXXX",0
4410,"Credit reporting, credit repair services, or other personal consumer reports","On ( XX/XX/2022 ) I sent a letter regarding inaccurate accounts, bankruptcies and unknown things on my credit report. To this day over 60 days later I have not received a response yet. feel like i'm being taken advantage of and being ignored of my disputes. Section 611 ( a ) it is plainly stated that failure to investigate these items within 30 days gives a reason to immediately remove those items from my credit report. It has been over 60 days so they should be deleted promptly. I demand these accounts be deleted immediately or I will file for litigation due to the stress you caused me. My information was also impacted by the XXXX data breach and may have got into the hands of the wrong person.",0
